method,subtype,n_nodes,n_edges,density,avg_degree,clustering,n_components
MIIC,basal,267,1694,0.047703528484131674,12.689138576779046,0.29398340805970946,2
MIIC,luma,282,6768,0.1708185053380783,48,0.41998522966551344,1
MIIC,lumb,272,3827,0.10383655307141307,28.139705882352953,0.3768271711092003,2
MIIC,her2,273,4054,0.10918982977806507,29.69963369963366,0.5168327331919302,3
GENIE3,basal,194,739,0.03947438705197372,7.618556701030924,0.23394672500321706,1
GENIE3,luma,178,679,0.04310290103472354,7.62921348314607,0.2932232841007819,2
GENIE3,lumb,185,692,0.04065804935370153,7.481081081081087,0.30672050013024227,1
GENIE3,her2,181,793,0.04868017188459177,8.762430939226508,0.3131244323342416,2
ARACNE,basal,197,1000,0.05179736869367036,10.152284263959395,0.08779497589444303,1
ARACNE,luma,182,1000,0.06071276789508834,10.989010989010996,0.24529888855512166,1
ARACNE,lumb,194,1000,0.0534159500026708,10.309278350515472,0.2091728525980912,1
ARACNE,her2,198,1000,0.051274162949289846,10.101010101010099,0.17372111139963645,1
