"source","target","edge_id","subtype","method","type","ai","info","info_bits","info_cond","cplx","n_xy_ai","info_shifted","info_shifted_bits","ort_inferred","is_causal","sign","partial_correlation","p_y2x","p_x2y","confidence"
"AKT1","AR","AKT1_AR","basal","MIIC","P",NA,23.42833,0.169848922147287,23.42833,9.967432,199,13.460898,0.0975877929171465,1,FALSE,"+",0.443651591289782,0.5,0.5,"A"
"GSK3B","MYC","GSK3B_MYC","basal","MIIC","P",NA,21.242057,0.153999046694375,21.242057,9.84074,199,11.401317,0.0826563994748896,1,FALSE,"-",-0.369824683759655,0.5,0.5,"A"
"MYC","SMAD4","MYC_SMAD4","basal","MIIC","P",NA,19.17157,0.138988587764099,19.17157,9.810468,199,9.361102,0.0678654041841998,-2,FALSE,"+",0.396119986524219,0.998809022539628,0.5,"A"
"CDK6","MYC","CDK6_MYC","basal","MIIC","P",NA,17.808181,0.129104394050015,17.808181,9.833546,199,7.974635,0.0578139013437164,1,FALSE,"+",0.393298309730471,0.5,0.5,"A"
"EIF5A2","MYC","EIF5A2_MYC","basal","MIIC","P","jak1 [4%]",17.140261,0.124262158513781,15.737711,8.750613,199,6.987098,0.0506545308281668,1,FALSE,"-",-0.266555142191138,0.5,0.5,"A"
"SMAD4","SMAD7","SMAD4_SMAD7","basal","MIIC","P",NA,23.589309,0.17101597543868,23.589309,16.982386,199,6.606923,0.0478983670735439,1,FALSE,"+",0.477357387996502,0.245900232840075,0.5,"A"
"FOXP1","RUNX1","FOXP1_RUNX1","basal","MIIC","P",NA,13.51599,0.0979871947020343,13.51599,10.020264,199,3.495726,0.0253430480628473,1,FALSE,"+",0.296827009025788,0.5,0.5,"B"
"MYC","TP53","MYC_TP53","basal","MIIC","P",NA,12.396218,0.0898691569566759,12.396218,9.810023,199,2.586195,0.0187491995038786,1,FALSE,"+",0.1791487741739,0.5,0.5,"A"
"CTCF","RBL2","CTCF_RBL2","basal","MIIC","P",NA,10.31952,0.074813669991731,10.31952,9.97941,199,0.340110000000001,0.00246570356963189,-2,FALSE,"+",0.422481871423884,0.999968739569303,0.5,"A"
"EIF4E","MYC","EIF4E_MYC","basal","MIIC","N","jak1 [100%]",17.654653,0.127991358450831,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"MYC","STAT3","MYC_STAT3","basal","MIIC","N","jak1 [100%]",15.868198,0.115040053077609,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"MYC","TGFB3","MYC_TGFB3","basal","MIIC","N","akt1 [100%]",13.452206,0.0975247783176722,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"FOXP1","STAT3","FOXP1_STAT3","basal","MIIC","N","myc [100%]",18.125341,0.131403716457897,0,0,199,0,0,0,NA,"",0,NA,NA,"B"
"AR","MYC","AR_MYC","basal","MIIC","N","ttyh1 [100%]",11.858686,0.0859721984103486,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"MYC","RAD51","MYC_RAD51","basal","MIIC","N","sf3b1 [100%]",17.756031,0.128726320952617,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"MYC","NRAS","MYC_NRAS","basal","MIIC","N","mmp7 [94%];bcl2l1 [6%]",13.520233,0.0980179552802177,0,0,199,0,0,0,NA,"",0,NA,NA,"A"
"CTCF","RBL2","CTCF_RBL2","luma","MIIC","P",NA,96.554445,0.205152605268463,96.554445,39.073731,679,57.480714,0.122131282819671,1,FALSE,"+",0.456264373324813,0.425647623610167,0.5,"A"
"NCOA3","UBR5","NCOA3_UBR5","luma","MIIC","P",NA,56.831224,0.120751288707584,56.831224,24.046241,679,32.784983,0.0696593996903225,1,FALSE,"+",0.401194817439967,0.5,3.3507322961662e-06,"C"
"FOXP1","STAT3","FOXP1_STAT3","luma","MIIC","P",NA,42.96515,0.0912895564595736,42.96515,21.73809,679,21.22706,0.045101876575335,1,FALSE,"-",-0.269134491432594,0.5,0.5,"B"
"NFKB1","RUNX1","NFKB1_RUNX1","luma","MIIC","P",NA,21.267507,0.0451878157304438,21.267507,10.514494,679,10.753013,0.0228473026947195,1,FALSE,"+",0.219435428029988,0.5,0.001040413292869,"A"
"FOXP1","PIK3R1","FOXP1_PIK3R1","luma","MIIC","P","myc [7%]",18.941268,0.0402451743913827,16.665741,8.818029,679,7.847712,0.0166743080776507,1,FALSE,"+",0.174487621343923,0.5,0.5,"B"
"ARID1A","SMAD1","ARID1A_SMAD1","luma","MIIC","P","mapk14 [71%];casp9 [9%]",41.614258,0.0884192689939232,8.590525,3.312048,679,5.278477,0.0112153646411583,1,FALSE,"+",0.203869034362974,0.5,0.5,"C"
"E2F1","TERT","E2F1_TERT","luma","MIIC","P",NA,11.035915,0.0234483944656438,11.035915,10.204948,679,0.830966999999999,0.00176558463923767,1,FALSE,"+",0.122868310851278,0.5,0.5,"A"
"CASP8","MYC","CASP8_MYC","luma","MIIC","N","map2k1 [100%]",45.739009,0.0971832716634399,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"EIF4E","MYC","EIF4E_MYC","luma","MIIC","N","map2k1 [100%]",45.490039,0.0966542763993307,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"SMAD4","SMAD7","SMAD4_SMAD7","luma","MIIC","N","jak1 [100%]",41.585944,0.0883591092481387,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MYC","STAT3","MYC_STAT3","luma","MIIC","N","jak1 [100%]",32.651064,0.0693748573086129,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MYC","SMAD4","MYC_SMAD4","luma","MIIC","N","jak1 [100%]",30.082125,0.06391654279367,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AR","FOXO3","AR_FOXO3","luma","MIIC","N","asxl2 [100%]",31.391276,0.0666981416971675,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CCND2","FOXO3","CCND2_FOXO3","luma","MIIC","N","dab2 [100%]",20.355525,0.0432500956880579,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MECOM","RUNX1","MECOM_RUNX1","luma","MIIC","N","pdgfrb [100%]",19.041615,0.0404583851708644,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"NCOA2","NCOA3","NCOA2_NCOA3","luma","MIIC","N","jak1 [100%]",18.447484,0.0391960142616767,0,0,679,0,0,0,NA,"",0,NA,NA,"C"
"AR","MYC","AR_MYC","luma","MIIC","N","gsk3b [100%]",17.90556,0.0380445693907803,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MYC","NRAS","MYC_NRAS","luma","MIIC","N","jak1 [66%];rbpj [34%]",41.713214,0.0886295242670694,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"BCL2L1","NFKB1","BCL2L1_NFKB1","luma","MIIC","N","slc19a1 [100%]",17.651447,0.0375046466147487,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"BIRC6","FOXP1","BIRC6_FOXP1","luma","MIIC","N","stat3 [100%]",17.27455,0.0367038403808372,0,0,679,0,0,0,NA,"",0,NA,NA,"B"
"BCL2L1","TP53","BCL2L1_TP53","luma","MIIC","N","mlst8 [100%]",23.02151,0.0489146072323648,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CCND2","NFKB1","CCND2_NFKB1","luma","MIIC","N","pdgfra [100%]",21.929408,0.0465941799281749,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AKT1","NFKB1","AKT1_NFKB1","luma","MIIC","N","nfkb2 [100%]",16.464883,0.0349835125963431,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AR","ERBB3","AR_ERBB3","luma","MIIC","N","tnk2 [100%]",16.150402,0.0343153238199753,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"ABCC1","TP53","ABCC1_TP53","luma","MIIC","N","mlst8 [100%]",18.155668,0.038575982603279,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MYC","TSC2","MYC_TSC2","luma","MIIC","N","map2k1 [70%];akt1 [30%]",39.104241,0.083086148112558,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"IGF1","STAT3","IGF1_STAT3","luma","MIIC","N","eif4e [100%]",14.894053,0.0316459151720727,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"BCL2L1","NFKB2","BCL2L1_NFKB2","luma","MIIC","N","map2k2 [100%]",19.995487,0.0424851103609127,0,0,679,0,0,0,NA,"",0,NA,NA,"B"
"E2F4","MYC","E2F4_MYC","luma","MIIC","N","cbfb [100%]",14.525154,0.0308621025684072,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"E2F4","ZFP36L1","E2F4_ZFP36L1","luma","MIIC","N","ctcf [100%]",14.145313,0.0300550411147602,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"MMP3","NFKB1","MMP3_NFKB1","luma","MIIC","N","pdgfra [100%]",13.886229,0.0295045562812202,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"EIF5A2","MYC","EIF5A2_MYC","luma","MIIC","N","map2k1 [100%]",13.785716,0.0292909927957344,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"BCAS3","GATA3","BCAS3_GATA3","luma","MIIC","N","pdgfra [100%]",20.435407,0.0434198237664913,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"GSK3B","MYC","GSK3B_MYC","luma","MIIC","N","jak1 [55%];akt1 [45%]",39.059282,0.0829906221532895,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"NCOA2","PTK2","NCOA2_PTK2","luma","MIIC","N","smad7 [100%]",19.398777,0.0412172597602517,0,0,679,0,0,0,NA,"",0,NA,NA,"C"
"CCND1","CTCF","CCND1_CTCF","luma","MIIC","N","pdgfra [100%]",13.293183,0.028244490709469,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AKT1","TP53","AKT1_TP53","luma","MIIC","N","smarcd1 [100%]",12.987617,0.0275952439453096,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CDKN1A","FOXO3","CDKN1A_FOXO3","luma","MIIC","N","asxl2 [100%]",13.032875,0.0276914052003325,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"STAT3","TP53","STAT3_TP53","luma","MIIC","N","ncor1 [50%];nrarp [50%]",18.741957,0.0398216913408751,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AR","CDKN1A","AR_CDKN1A","luma","MIIC","N","asxl2 [100%]",12.91717,0.0274455627412661,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CDKN1A","E2F3","CDKN1A_E2F3","luma","MIIC","N","birc6 [100%]",12.825094,0.0272499256446757,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CCND1","STAT3","CCND1_STAT3","luma","MIIC","N","jak1 [100%]",12.218892,0.0259619070597317,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"AKT1","AR","AKT1_AR","luma","MIIC","N","map2k2 [72%];tubb4b [28%]",46.862881,0.0995712017974516,0,0,679,0,0,0,NA,"",0,NA,NA,"A"
"CASP8","RBPJ","CASP8_RBPJ","luma","MIIC","N","sf3b1 [100%]",52.86499,0.112324092650434,0,0,679,0,0,0,NA,"",0,NA,NA,"C"
"SMAD4","SMAD7","SMAD4_SMAD7","lumb","MIIC","P",NA,24.292696,0.0760237571562324,24.292696,10.29848,461,13.994216,0.0437947636102581,1,FALSE,"+",0.270789425238419,0.5,0.5,"A"
"CTCF","RBL2","CTCF_RBL2","lumb","MIIC","P","cdh1 [19%]",27.532377,0.0861623075092958,19.907747,8.184305,461,11.723442,0.0366883983417557,-2,FALSE,"+",0.242665791711771,0.546012844449414,0.5,"A"
"ARID1A","SMAD1","ARID1A_SMAD1","lumb","MIIC","P",NA,30.866904,0.096597677501943,30.866904,22.606207,461,8.260697,0.0258517713583218,1,FALSE,"+",0.340096167413681,0.5,0.5,"C"
"BMP4","MYC","BMP4_MYC","lumb","MIIC","P",NA,15.962096,0.0499532250355609,15.962096,10.313455,461,5.648641,0.0176773673719351,1,FALSE,"-",-0.191891946265013,0.5,0.5,"A"
"HES1","RBPJ","HES1_RBPJ","lumb","MIIC","P",NA,14.120228,0.0441891169453828,14.120228,10.334023,461,3.786205,0.011848891924705,1,FALSE,"-",-0.238034770188249,0.5,0.5,"C"
"AR","HES1","AR_HES1","lumb","MIIC","P",NA,13.276053,0.0415472794483276,13.276053,10.426982,461,2.849071,0.00891614013631357,1,FALSE,"+",0.235235290929453,0.5,0.5,"A"
"CCND2","STAT5A","CCND2_STAT5A","lumb","MIIC","P",NA,11.858375,0.0371106698600904,11.858375,10.403459,461,1.454916,0.00455314554904557,6,FALSE,"+",0.15776481797718,0.807488639224103,0.999971675506317,"A"
"AR","ERBB3","AR_ERBB3","lumb","MIIC","N","acvr1b [100%]",21.313676,0.0667009428813755,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"AR","FOXO3","AR_FOXO3","lumb","MIIC","N","map2k1 [60%];acvr1b [40%]",27.949797,0.0874686193617207,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"MECOM","RUNX1","MECOM_RUNX1","lumb","MIIC","N","pdgfrb [100%]",14.548938,0.045530760743603,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"NCOA3","UBR5","NCOA3_UBR5","lumb","MIIC","N","ptk2 [81%];ccnb1 [19%]",43.704478,0.136772741161043,0,0,461,0,0,0,NA,"",0,NA,NA,"C"
"CCND2","NFKB1","CCND2_NFKB1","lumb","MIIC","N","csf1r [100%]",13.996804,0.0438028627312252,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"NFKB1","RUNX1","NFKB1_RUNX1","lumb","MIIC","N","ncstn [100%]",18.058112,0.0565126868334436,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"CDKN1A","FOXO3","CDKN1A_FOXO3","lumb","MIIC","N","notch3 [100%]",13.904067,0.0435126431867416,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"BCL2L1","NFKB1","BCL2L1_NFKB1","lumb","MIIC","N","acvr1 [100%]",12.027482,0.0376398885808704,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"AKT1","AR","AKT1_AR","lumb","MIIC","N","ncor2 [100%]",21.7592,0.0680952059299591,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"NCOA2","PTK2","NCOA2_PTK2","lumb","MIIC","N","jak1 [100%]",10.811606,0.0338348163996646,0,0,461,0,0,0,NA,"",0,NA,NA,"C"
"FN1","GATA3","FN1_GATA3","lumb","MIIC","N","hsd17b6 [100%]",10.828084,0.0338863841412779,0,0,461,0,0,0,NA,"",0,NA,NA,"A"
"NCOA3","UBR5","NCOA3_UBR5","her2","MIIC","P",NA,15.432806,0.101203784923643,15.432806,10.07224,220,5.360566,0.0351530090207181,1,FALSE,"+",0.375099563147893,0.5,0.5,"C"
"CSF1R","FOXP1","CSF1R_FOXP1","her2","MIIC","P",NA,17.428203,0.114289009271392,17.428203,14.683,220,2.745203,0.0180022307015159,2,FALSE,"-",-0.192070437417118,0.5,0.93561686185821,"B"
"CCND2","STAT5A","CCND2_STAT5A","her2","MIIC","P",NA,11.520646,0.0755489947819876,11.520646,9.974828,220,1.545818,0.0101370180123495,1,FALSE,"+",0.246293871166395,0.5,0.5,"A"
"E2F1","TERT","E2F1_TERT","her2","MIIC","P",NA,10.382257,0.0680837758506124,10.382257,9.992467,220,0.38979,0.00255612772721868,1,FALSE,"+",0.257957506059726,0.5,0.5,"A"
"FOXP1","STAT3","FOXP1_STAT3","her2","MIIC","N","jak1 [100%]",25.416242,0.166672210415608,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"ARID5B","FOXP1","ARID5B_FOXP1","her2","MIIC","N","jak1 [100%]",27.731802,0.181856969183248,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"ARID1A","FOXP1","ARID1A_FOXP1","her2","MIIC","N","itgav [100%]",38.817186,0.254551644288475,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"ARID1A","SMAD1","ARID1A_SMAD1","her2","MIIC","N","jak1 [100%]",31.723171,0.208031188558966,0,0,220,0,0,0,NA,"",0,NA,NA,"C"
"FOXP1","UTRN","FOXP1_UTRN","her2","MIIC","N","jak1 [100%]",20.203647,0.132489551521687,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"GSK3B","MYC","GSK3B_MYC","her2","MIIC","N","adam10 [100%]",17.630332,0.115614511571027,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"CTCF","RBL2","CTCF_RBL2","her2","MIIC","N","cbfb [100%]",33.09242,0.217010319204612,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"SMAD4","SMAD7","SMAD4_SMAD7","her2","MIIC","N","map4 [100%]",40.891434,0.268153950211992,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"CDK6","FOXP1","CDK6_FOXP1","her2","MIIC","N","arid5b [100%]",21.30465,0.139709604103978,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"EIF4E","MYC","EIF4E_MYC","her2","MIIC","N","foxp1 [100%]",20.697611,0.135728821581586,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"FOXP1","NCOR2","FOXP1_NCOR2","her2","MIIC","N","akt1s1 [100%]",16.823928,0.110326352244877,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"CCND1","STAT3","CCND1_STAT3","her2","MIIC","N","adam17 [100%]",13.910465,0.0912207221452704,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"FOXP1","MAML3","FOXP1_MAML3","her2","MIIC","N","map4 [100%]",13.553393,0.0888791494014509,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"CASP8","MYC","CASP8_MYC","her2","MIIC","N","sf3b1 [100%]",13.734016,0.0900636217031349,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"MYC","SMAD4","MYC_SMAD4","her2","MIIC","N","adam10 [100%]",23.642406,0.155039917685834,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"MYC","TSC2","MYC_TSC2","her2","MIIC","N","adam10 [100%]",12.965364,0.0850230288460013,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"CCND3","STAT3","CCND3_STAT3","her2","MIIC","N","adam10 [100%]",12.821161,0.0840773881506317,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"NCOA2","NCOA3","NCOA2_NCOA3","her2","MIIC","N","sf3b1 [100%]",12.313695,0.080749575961451,0,0,220,0,0,0,NA,"",0,NA,NA,"C"
"CCND3","STAT5A","CCND3_STAT5A","her2","MIIC","N","nfkb2 [100%]",12.228649,0.0801918694048717,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"CDKN1A","SMAD4","CDKN1A_SMAD4","her2","MIIC","N","tnk2 [100%]",14.169735,0.0929209382509581,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"MECOM","RUNX1","MECOM_RUNX1","her2","MIIC","N","heyl [100%]",11.656453,0.0764395769884331,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"PRKCQ","RUNX1","PRKCQ_RUNX1","her2","MIIC","N","jag1 [100%]",10.788855,0.070750125478955,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"BMP4","MYC","BMP4_MYC","her2","MIIC","N","ncor2 [100%]",10.844588,0.0711156060367453,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"FOXP1","SHANK2","FOXP1_SHANK2","her2","MIIC","N","jak1 [100%]",11.455677,0.0751229472632989,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"BIRC6","FOXP1","BIRC6_FOXP1","her2","MIIC","N","jak1 [100%]",11.497407,0.0753966002817366,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"MYC","STAT3","MYC_STAT3","her2","MIIC","N","adam10 [100%]",30.353981,0.199052444817899,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"CCND2","NFKB1","CCND2_NFKB1","her2","MIIC","N","cdk6 [100%]",11.09949,0.0727871780881665,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"E2F3","MAP3K5","E2F3_MAP3K5","her2","MIIC","N","foxo3 [100%]",13.26304,0.0869751001595998,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"FAS","STAT3","FAS_STAT3","her2","MIIC","N","jak1 [100%]",10.224588,0.0670498291033309,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
"FOXP1","THADA","FOXP1_THADA","her2","MIIC","N","gdf11 [50%];adam10 [50%]",24.375695,0.159848610430554,0,0,220,0,0,0,NA,"",0,NA,NA,"B"
"MYC","RAD51","MYC_RAD51","her2","MIIC","N","adam10 [100%]",12.471991,0.081787634389599,0,0,220,0,0,0,NA,"",0,NA,NA,"A"
